# x	 u_numerical(T=2.00)	 u_exact(T=2.00) (MPI, 8 procs)
0.000000	4.898587196589413e-16	4.898587196589413e-16
0.010000	6.258508583689826e-02	6.279051952931351e-02
0.020000	1.246782680185194e-01	1.253332335643040e-01
0.030000	1.860373071450923e-01	1.873813145857258e-01
0.040000	2.464238020909133e-01	2.486898871648556e-01
0.050000	3.056041124033735e-01	3.090169943749479e-01
0.060000	3.633502583587652e-01	3.681245526846781e-01
0.070000	4.194407952232994e-01	4.257792915650740e-01
0.080000	4.736616583827488e-01	4.817536741017163e-01
0.090000	5.258069761317917e-01	5.358267949789973e-01
0.100000	5.756798470539166e-01	5.877852522924735e-01
0.110000	6.230930790740198e-01	6.374239897486912e-01
0.120000	6.678698874280469e-01	6.845471059286898e-01
0.130000	7.098445489663378e-01	7.289686274214111e-01
0.140000	7.488630103892752e-01	7.705132427757897e-01
0.150000	7.847834482043438e-01	8.090169943749477e-01
0.160000	8.174767783922645e-01	8.443279255020151e-01
0.170000	8.468271139755822e-01	8.763066800438635e-01
0.180000	8.727321688949526e-01	9.048270524660192e-01
0.190000	8.951036068158568e-01	9.297764858882517e-01
0.200000	9.138673337103764e-01	9.510565162951538e-01
0.210000	9.289637332843363e-01	9.685831611286312e-01
0.220000	9.403478445484987e-01	9.822872507286886e-01
0.230000	9.479894810627583e-01	9.921147013144780e-01
0.240000	9.518732916135096e-01	9.980267284282716e-01
0.250000	9.519987623156129e-01	1.000000000000000e+00
0.260000	9.483801603607160e-01	9.980267284282716e-01
0.270000	9.410464198623280e-01	9.921147013144779e-01
0.280000	9.300409704739584e-01	9.822872507286885e-01
0.290000	9.154215096789868e-01	9.685831611286310e-01
0.300000	8.972597198689404e-01	9.510565162951534e-01
0.310000	8.756409315395487e-01	9.297764858882513e-01
0.320000	8.506637341406257e-01	9.048270524660189e-01
0.330000	8.224395363156373e-01	8.763066800438630e-01
0.340000	7.910920774590027e-01	8.443279255020146e-01
0.350000	7.567568927030497e-01	8.090169943749472e-01
0.360000	7.195807336213708e-01	7.705132427757893e-01
0.370000	6.797209471005001e-01	7.289686274214106e-01
0.380000	6.373448149866923e-01	6.845471059286892e-01
0.390000	5.926288572585580e-01	6.374239897486891e-01
0.400000	5.457581016089943e-01	5.877852522924728e-01
0.410000	4.969253224405812e-01	5.358267949789951e-01
0.420000	4.463302523870925e-01	4.817536741017155e-01
0.430000	3.941787695695678e-01	4.257792915650733e-01
0.440000	3.406820638782642e-01	3.681245526846773e-01
0.450000	2.860557856412945e-01	3.090169943749471e-01
0.460000	2.305191800968615e-01	2.486898871648548e-01
0.470000	1.742942111283869e-01	1.873813145857250e-01
0.480000	1.176046777504714e-01	1.253332335643032e-01
0.490000	6.067532684843284e-02	6.279051952931265e-02
0.500000	3.730965675144205e-03	-3.673940397442059e-16
0.510000	-5.300442240391576e-02	-6.279051952931339e-02
0.520000	-1.093085554529672e-01	-1.253332335643039e-01
0.530000	-1.649617203711596e-01	-1.873813145857257e-01
0.540000	-2.197476267896124e-01	-2.486898871648555e-01
0.550000	-2.734542441555072e-01	-3.090169943749478e-01
0.560000	-3.258746187775678e-01	-3.681245526846780e-01
0.570000	-3.768076676987220e-01	-4.257792915650739e-01
0.580000	-4.260589463651905e-01	-4.817536741017162e-01
0.590000	-4.734413871761798e-01	-5.358267949789957e-01
0.600000	-5.187760061243117e-01	-5.877852522924734e-01
0.610000	-5.618925748733568e-01	-6.374239897486897e-01
0.620000	-6.026302557662062e-01	-6.845471059286897e-01
0.630000	-6.408381974115676e-01	-7.289686274214110e-01
0.640000	-6.763760886621840e-01	-7.705132427757897e-01
0.650000	-7.091146689695611e-01	-8.090169943749477e-01
0.660000	-7.389361932796371e-01	-8.443279255020160e-01
0.670000	-7.657348498197951e-01	-8.763066800438634e-01
0.680000	-7.894171293193890e-01	-9.048270524660200e-01
0.690000	-8.099021444025859e-01	-9.297764858882517e-01
0.700000	-8.271218980932754e-01	-9.510565162951542e-01
0.710000	-8.410215005760625e-01	-9.685831611286311e-01
0.720000	-8.515593335641655e-01	-9.822872507286886e-01
0.730000	-8.587071618336577e-01	-9.921147013144779e-01
0.740000	-8.624501916929513e-01	-9.980267284282716e-01
0.750000	-8.627870763660119e-01	-1.000000000000000e+00
0.760000	-8.597298684766363e-01	-9.980267284282716e-01
0.770000	-8.533039200283755e-01	-9.921147013144778e-01
0.780000	-8.435477304796525e-01	-9.822872507286886e-01
0.790000	-8.305127437153202e-01	-9.685831611286310e-01
0.800000	-8.142630949137556e-01	-9.510565162951535e-01
0.810000	-7.948753085016707e-01	-9.297764858882511e-01
0.820000	-7.724379485764847e-01	-9.048270524660194e-01
0.830000	-7.470512233575907e-01	-8.763066800438631e-01
0.840000	-7.188265454025043e-01	-8.443279255020152e-01
0.850000	-6.878860494909849e-01	-8.090169943749468e-01
0.860000	-6.543620702392512e-01	-7.705132427757893e-01
0.870000	-6.183965816566280e-01	-7.289686274214106e-01
0.880000	-5.801406009979373e-01	-6.845471059286893e-01
0.890000	-5.397535593961534e-01	-6.374239897486892e-01
0.900000	-4.974026418806112e-01	-5.877852522924736e-01
0.910000	-4.532620994963280e-01	-5.358267949789960e-01
0.920000	-4.075125363389671e-01	-4.817536741017157e-01
0.930000	-3.603401744075741e-01	-4.257792915650718e-01
0.940000	-3.119360992530583e-01	-3.681245526846782e-01
0.950000	-2.624954894642119e-01	-3.090169943749463e-01
0.960000	-2.122168330846531e-01	-2.486898871648549e-01
0.970000	-1.613011340933390e-01	-1.873813145857242e-01
0.980000	-1.099511121080604e-01	-1.253332335643042e-01
0.990000	-5.837039848556668e-02	-6.279051952931278e-02
1.000000	-6.762731993681566e-03	2.449293598294706e-16
